Ticker,Nome,Categoria,Setor,Preço Atual,Dividendos 12M,DY (%),P/VP,Liquidez,Patrimônio,Atualizado Em
CPFE3,CPFL Energia S.A.,AÇÃO,Utilities,R$ 43.39,R$ 3.73,8.6%,2.06,2.08M,R$ 50.00B,2026-05-29 23:13:56
CSAN3,Cosan S.A.,AÇÃO,Energy,R$ 3.80,R$ 0.00,0.0%,4.26,33.64M,R$ 14.98B,2026-05-29 23:13:56
CSMG3,Companhia de Saneamento de Minas Gerais,AÇÃO,Utilities,R$ 52.71,R$ 2.24,4.25%,2.28,4.11M,R$ 19.99B,2026-05-29 23:13:57
CSNA3,Companhia Siderúrgica Nacional,AÇÃO,Basic Materials,R$ 6.71,R$ 0.00,0.0%,0.69,13.65M,R$ 8.90B,2026-05-29 23:13:58
CVCB3,CVC Brasil Operadora e Agência de Viagens S.A.,AÇÃO,Consumer Cyclical,R$ 1.50,R$ 0.00,0.0%,1.63,15.27M,R$ 781.20M,2026-05-29 23:13:58
CYRE3,Cyrela Brazil Realty S.A. Empreendimentos e Participações,AÇÃO,Consumer Cyclical,R$ 22.52,R$ 2.73,12.12%,0.92,7.18M,R$ 8.25B,2026-05-29 23:13:59
DXCO3,Dexco S.A.,AÇÃO,Basic Materials,R$ 4.76,R$ 0.00,0.0%,0.62,3.04M,R$ 4.32B,2026-05-29 23:14:00
EGIE3,Engie Brasil Energia S.A.,AÇÃO,Utilities,R$ 33.10,R$ 1.21,3.64%,2.78,2.17M,R$ 37.81B,2026-05-29 23:14:00
ENEV3,Eneva S.A.,AÇÃO,Utilities,R$ 25.63,R$ 0.00,0.0%,2.48,14.24M,R$ 49.03B,2026-05-29 23:14:01
ENGI11,Energisa S.A.,FII/UNIT,Utilities,R$ 48.00,R$ 1.55,3.22%,0.85,3.09M,R$ 14.70B,2026-05-29 23:14:02
EQTL3,Equatorial S.A.,AÇÃO,Utilities,R$ 38.55,R$ 1.58,4.11%,1.88,8.01M,R$ 48.51B,2026-05-29 23:14:02
EZTC3,EZTEC Empreendimentos e Participações S.A.,AÇÃO,Real Estate,R$ 13.15,R$ 1.14,8.63%,0.73,2.12M,R$ 3.65B,2026-05-29 23:14:03
FLRY3,Fleury S.A.,AÇÃO,Healthcare,R$ 15.39,R$ 1.21,7.86%,1.61,2.80M,R$ 8.37B,2026-05-29 23:14:04
GGBR4,Gerdau S.A.,AÇÃO,Basic Materials,R$ 22.77,R$ 0.68,2.99%,0.85,11.23M,R$ 44.80B,2026-05-29 23:14:04
GOAU4,Metalurgica Gerdau S.A.,AÇÃO,Basic Materials,R$ 9.80,R$ 0.33,3.39%,0.69,9.64M,R$ 12.98B,2026-05-29 23:14:05
HAPV3,Hapvida Participações e Investimentos S.A.,AÇÃO,Financial Services,R$ 12.15,R$ 0.00,0.0%,0.12,12.08M,R$ 5.77B,2026-05-29 23:14:06
HYPE3,Hypera S.A.,AÇÃO,Healthcare,R$ 21.91,R$ 1.13,5.16%,1.11,3.67M,R$ 15.42B,2026-05-29 23:14:06
